date,state,district,market,commodity,min_price,max_price,modal_price
2023-07-04,Madhya Pradesh,Jabalpur,Jabalpur,Gram,2719,3113,2756
2023-07-05,Madhya Pradesh,Bhopal,Ujjain,Maize,2923,3020,2578
2023-07-06,Madhya Pradesh,Jabalpur,Sagar,Gram,1556,2973,3499
2023-07-07,Madhya Pradesh,Indore,Ujjain,Soybean,1712,3438,2454
2023-07-08,Madhya Pradesh,Gwalior,Jabalpur,Gram,2802,3997,2236
2023-07-09,Madhya Pradesh,Gwalior,Gwalior,Paddy(Dhan),2903,3017,2117
2023-07-10,Madhya Pradesh,Ujjain,Jabalpur,Gram,1616,3319,2405
2023-07-11,Madhya Pradesh,Ujjain,Bhopal,Maize,2974,3865,3073
2023-07-12,Madhya Pradesh,Indore,Bhopal,Wheat,2098,2712,2710
2023-07-13,Madhya Pradesh,Gwalior,Ujjain,Soybean,1909,3069,3270
2023-07-14,Madhya Pradesh,Gwalior,Bhopal,Paddy(Dhan),2890,2487,2296
2023-07-15,Madhya Pradesh,Ujjain,Sagar,Maize,2311,2618,3166
2023-07-16,Madhya Pradesh,Ujjain,Jabalpur,Soybean,2428,2169,2226
2023-07-17,Madhya Pradesh,Jabalpur,Ujjain,Gram,2636,2145,2617
2023-07-18,Madhya Pradesh,Sagar,Jabalpur,Soybean,2687,2867,2822
2023-07-19,Madhya Pradesh,Gwalior,Jabalpur,Wheat,1503,2419,2039
2023-07-20,Madhya Pradesh,Gwalior,Ujjain,Soybean,1522,3995,2882
2023-07-21,Madhya Pradesh,Jabalpur,Gwalior,Soybean,2420,3713,3350
2023-07-22,Madhya Pradesh,Gwalior,Bhopal,Gram,2244,2572,2596
2023-07-23,Madhya Pradesh,Indore,Indore,Gram,2101,3959,2002
2023-07-24,Madhya Pradesh,Ujjain,Indore,Paddy(Dhan),2487,3026,3289
2023-07-25,Madhya Pradesh,Ujjain,Indore,Gram,2615,3617,3119
2023-07-26,Madhya Pradesh,Sagar,Bhopal,Soybean,1968,3286,2086
2023-07-27,Madhya Pradesh,Ujjain,Gwalior,Wheat,2469,2798,1872
2023-07-28,Madhya Pradesh,Bhopal,Jabalpur,Gram,2678,2320,2525
2023-07-29,Madhya Pradesh,Indore,Ujjain,Paddy(Dhan),2126,3630,3346
2023-07-30,Madhya Pradesh,Indore,Gwalior,Paddy(Dhan),1706,3599,2136
